order_id,order_date,month,weekday,state,sales_channel,product_category,product_name,quantity,unit_price,discount,order_status,seller_name,payment_method,total_salles,Faturamento total no ano
ORD-10000,13/01/2024,janeiro,sábado,RJ,Não Informado,Fotografia,Câmera Canon,3,"1262,21",5%,Concluído,Não Informado,Cartão Crédito,"3786,63","6744741,94"
ORD-10001,17/02/2024,fevereiro,sábado,PE,Marketplace,Informática,Notebook Dell,2,"2551,51",0%,Concluído,Carlos Souza,Cartão Crédito,"5103,02",
ORD-10002,04/01/2024,janeiro,quinta-feira,MG,Marketplace,Acessórios,Cabo Lightning,1,"2141,94",10%,Devolvido,Ana Silva,Pix,"2141,94",
ORD-10003,02/07/2024,julho,terça-feira,GO,Televendas,Tablets,iPad 10,5,"1359,38",0%,Concluído,Roberto Alves,Pix,"6796,9",
ORD-10004,17/11/2024,novembro,domingo,SP,Não Informado,Acessórios,Cabo Lightning,3,"2907,89",0%,Cancelado,Mariana Lima,Pix,"8723,67",
ORD-10005,13/07/2024,julho,sábado,MG,Loja Física,Celulares,iPhone 13,4,"3196,64",10%,Devolvido,Carlos Souza,Boleto,"12786,56",
ORD-10006,15/12/2024,dezembro,domingo,PE,Não Informado,Áudio,Headset HyperX,1,"3065,2",5%,Cancelado,Carlos Souza,Cartão Crédito,"3065,2",
ORD-10007,23/11/2024,novembro,sábado,SP,Marketplace,Tablets,Galaxy Tab S8,5,"1137,1",10%,Concluído,Mariana Lima,Cartão Crédito,"5685,5",
ORD-10008,18/04/2024,abril,quinta-feira,SC,Não Informado,Áudio,Fone JBL,1,"1607,66",15%,Concluído,Carlos Souza,Boleto,"1607,66",
ORD-10009,14/10/2024,outubro,segunda-feira,SC,Loja Física,Celulares,iPhone 13,3,"3747,72",15%,Cancelado,Carlos Souza,Pix,"11243,16",
ORD-10010,25/01/2024,janeiro,quinta-feira,RJ,Aplicativo,Tablets,iPad 10,2,"3155,86",15%,Concluído,Não Informado,Cartão Crédito,"6311,72",
ORD-10011,10/10/2024,outubro,quinta-feira,PR,E-commerce,Acessórios,Cabo Lightning,1,"3617,57",10%,Devolvido,Roberto Alves,Cartão Crédito,"3617,57",
ORD-10012,14/05/2024,maio,terça-feira,BA,Não Informado,Tablets,iPad 10,2,"2563,02",0%,Cancelado,Carlos Souza,Boleto,"5126,04",
ORD-10013,28/09/2024,setembro,sábado,RJ,Loja Física,Celulares,Xiaomi Redmi Note,5,"1654,57",0%,Devolvido,Carlos Souza,Pix,"8272,85",
ORD-10014,10/02/2024,fevereiro,sábado,PE,Marketplace,Celulares,Xiaomi Redmi Note,1,"2455,65",0%,Cancelado,Roberto Alves,Pix,"2455,65",
ORD-10015,27/09/2024,setembro,sexta-feira,BA,Aplicativo,Celulares,Samsung Galaxy S22,4,"4823,6",5%,Devolvido,Roberto Alves,Pix,"19294,4",
ORD-10016,06/05/2024,maio,segunda-feira,RS,E-commerce,Tablets,iPad 10,1,"1723,52",5%,Concluído,Ana Silva,Cartão Crédito,"1723,52",
ORD-10017,18/06/2024,junho,terça-feira,RS,Televendas,Informática,Notebook Dell,5,"1228,12",15%,Cancelado,Não Informado,Pix,"6140,6",
ORD-10018,30/08/2024,agosto,sexta-feira,PR,Aplicativo,Tablets,iPad 10,2,"516,91",15%,Concluído,Roberto Alves,Boleto,"1033,82",
ORD-10019,01/02/2024,fevereiro,quinta-feira,RS,Marketplace,Informática,Notebook Dell,1,"1729,55",0%,Cancelado,Não Informado,Cartão Crédito,"1729,55",
ORD-10020,03/04/2024,abril,quarta-feira,GO,Televendas,Celulares,Samsung Galaxy S22,4,"1286,54",0%,Concluído,Ana Silva,Boleto,"5146,16",
ORD-10021,17/02/2024,fevereiro,sábado,RS,Aplicativo,Acessórios,Carregador USB-C,2,"2061,75",15%,Concluído,Carlos Souza,Cartão Crédito,"4123,5",
ORD-10022,15/05/2024,maio,quarta-feira,MG,Marketplace,Informática,Monitor Samsung,3,"2143,89",15%,Devolvido,Carlos Souza,Pix,"6431,67",
ORD-10023,04/10/2024,outubro,sexta-feira,GO,Televendas,Acessórios,Suporte Celular,1,"1602,34",0%,Cancelado,Ana Silva,Pix,"1602,34",
ORD-10024,05/02/2024,fevereiro,segunda-feira,SC,E-commerce,Informática,Mouse Logitech,1,"3392,3",5%,Cancelado,Não Informado,Pix,"3392,3",
ORD-10025,02/08/2024,agosto,sexta-feira,BA,Marketplace,Informática,Notebook Dell,5,"2847,87",10%,Devolvido,Carlos Souza,Boleto,"14239,35",
ORD-10026,09/12/2024,dezembro,segunda-feira,SP,Aplicativo,Tablets,iPad 10,3,"2313,26",0%,Concluído,Ana Silva,Pix,"6939,78",
ORD-10027,15/05/2024,maio,quarta-feira,PR,Loja Física,Celulares,Xiaomi Redmi Note,3,"4410,28",5%,Cancelado,Roberto Alves,Pix,"13230,84",
ORD-10028,09/11/2024,novembro,sábado,RJ,Marketplace,Fotografia,Webcam Logitech,5,"88,72",10%,Devolvido,Ana Silva,Pix,"443,6",
ORD-10029,20/03/2024,março,quarta-feira,RS,Não Informado,Fotografia,Tripé Fotográfico,3,"3043,91",10%,Devolvido,Não Informado,Cartão Crédito,"9131,73",
ORD-10030,17/02/2024,fevereiro,sábado,SP,Loja Física,Áudio,Fone JBL,4,"4155,27",0%,Cancelado,Mariana Lima,Cartão Crédito,"16621,08",
ORD-10031,09/10/2024,outubro,quarta-feira,RJ,Não Informado,Fotografia,Webcam Logitech,4,"2826,49",0%,Cancelado,Não Informado,Pix,"11305,96",
ORD-10032,09/10/2024,outubro,quarta-feira,PR,E-commerce,Áudio,Headset HyperX,4,"680,86",10%,Devolvido,Carlos Souza,Boleto,"2723,44",
ORD-10033,22/02/2024,fevereiro,quinta-feira,MG,Marketplace,Celulares,Xiaomi Redmi Note,5,"4426,47",15%,Cancelado,Carlos Souza,Cartão Crédito,"22132,35",
ORD-10034,19/06/2024,junho,quarta-feira,BA,Marketplace,Informática,Mouse Logitech,1,"4327,12",5%,Concluído,Roberto Alves,Pix,"4327,12",
